"","isolate_id","cluster_pb2","cluster_pb1","cluster_pa","cluster_ha","cluster_np","cluster_na","cluster_mp","cluster_ns","cluster_profile"
"1244","EPI_ISL_3127850",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1245","EPI_ISL_3128152",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1246","EPI_ISL_3128522",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1247","EPI_ISL_3128523",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1248","EPI_ISL_3128524",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1249","EPI_ISL_3128525",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1250","EPI_ISL_3128526",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1251","EPI_ISL_3128527",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1252","EPI_ISL_3128528",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1253","EPI_ISL_3128529",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1254","EPI_ISL_3128530",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1255","EPI_ISL_3128531",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1256","EPI_ISL_3128532",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1257","EPI_ISL_3128533",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1258","EPI_ISL_3128534",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1259","EPI_ISL_3135897",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1260","EPI_ISL_3135926",8,1,1,1,2,3,1,1,"8_1_1_1_2_3_1_1"
"1261","EPI_ISL_3135931",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1262","EPI_ISL_3143953",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1263","EPI_ISL_3143954",6,4,2,1,16,3,1,3,"6_4_2_1_16_3_1_3"
"1264","EPI_ISL_3319859",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1265","EPI_ISL_3770740",26,24,18,1,17,9,1,7,"26_24_18_1_17_9_1_7"
"1266","EPI_ISL_4061482",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1267","EPI_ISL_4061483",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1268","EPI_ISL_4061484",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1269","EPI_ISL_4061485",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1270","EPI_ISL_4061490",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1271","EPI_ISL_4061491",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1272","EPI_ISL_4061712",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1273","EPI_ISL_4061713",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1274","EPI_ISL_4061714",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1275","EPI_ISL_4061715",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1276","EPI_ISL_4062112",13,12,6,2,2,2,1,3,"13_12_6_2_2_2_1_3"
"1277","EPI_ISL_4396748",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1278","EPI_ISL_4651963",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1279","EPI_ISL_5049590",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1280","EPI_ISL_5057844",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1281","EPI_ISL_5057856",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1282","EPI_ISL_5057874",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1283","EPI_ISL_5057875",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1284","EPI_ISL_5057963",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1285","EPI_ISL_5061390",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1286","EPI_ISL_5061617",6,4,2,1,3,3,1,3,"6_4_2_1_3_3_1_3"
"1287","EPI_ISL_5061890",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1288","EPI_ISL_5062078",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1289","EPI_ISL_5064509",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1290","EPI_ISL_5064707",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1291","EPI_ISL_5064825",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1292","EPI_ISL_5064922",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1293","EPI_ISL_5064971",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1294","EPI_ISL_5065068",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1295","EPI_ISL_5065144",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1296","EPI_ISL_5065276",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1297","EPI_ISL_5097280",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1298","EPI_ISL_5098130",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1299","EPI_ISL_5098132",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1300","EPI_ISL_5098133",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1301","EPI_ISL_5098134",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1302","EPI_ISL_5098135",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1303","EPI_ISL_5098138",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1304","EPI_ISL_5098142",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1305","EPI_ISL_5098143",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1306","EPI_ISL_5098144",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1307","EPI_ISL_5098145",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1308","EPI_ISL_5098146",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1309","EPI_ISL_5098147",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1310","EPI_ISL_5098153",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1311","EPI_ISL_5098154",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1312","EPI_ISL_5098158",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1313","EPI_ISL_5098159",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1314","EPI_ISL_5098160",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1315","EPI_ISL_5102033",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1316","EPI_ISL_5102130",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1317","EPI_ISL_5102132",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1318","EPI_ISL_5102136",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1319","EPI_ISL_5102449",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1320","EPI_ISL_5102578",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1321","EPI_ISL_5123578",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1322","EPI_ISL_5123579",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1323","EPI_ISL_5123584",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1324","EPI_ISL_5123589",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1325","EPI_ISL_5123590",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1326","EPI_ISL_5126214",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1327","EPI_ISL_5134186",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1328","EPI_ISL_5134658",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1329","EPI_ISL_5135087",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1330","EPI_ISL_5139441",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1331","EPI_ISL_5142451",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1332","EPI_ISL_5142455",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1333","EPI_ISL_5142488",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1334","EPI_ISL_5142489",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1335","EPI_ISL_5142894",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1336","EPI_ISL_5142961",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1337","EPI_ISL_5143100",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1338","EPI_ISL_5143300",6,4,3,1,2,2,1,3,"6_4_3_1_2_2_1_3"
"1339","EPI_ISL_5143417",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1340","EPI_ISL_5143554",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1341","EPI_ISL_5143583",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1342","EPI_ISL_5143584",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1343","EPI_ISL_5143585",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1344","EPI_ISL_5143586",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1345","EPI_ISL_5143587",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1346","EPI_ISL_5143626",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1347","EPI_ISL_5143627",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1348","EPI_ISL_5143820",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1349","EPI_ISL_5143995",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1350","EPI_ISL_5144149",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1351","EPI_ISL_5146288",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1352","EPI_ISL_5146291",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1353","EPI_ISL_5146292",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1354","EPI_ISL_5146481",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1355","EPI_ISL_5323346",41,1,1,1,2,1,1,1,"41_1_1_1_2_1_1_1"
"1356","EPI_ISL_5323347",41,1,1,1,2,1,1,1,"41_1_1_1_2_1_1_1"
"1357","EPI_ISL_5524384",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1358","EPI_ISL_5863089",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1359","EPI_ISL_5863358",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1360","EPI_ISL_5863359",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1361","EPI_ISL_5863447",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1362","EPI_ISL_5863490",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1363","EPI_ISL_5863491",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1364","EPI_ISL_5863497",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1365","EPI_ISL_5863557",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1366","EPI_ISL_5863567",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1367","EPI_ISL_5863615",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1368","EPI_ISL_5863641",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1369","EPI_ISL_5863650",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1370","EPI_ISL_5863749",6,4,3,1,3,20,1,3,"6_4_3_1_3_20_1_3"
"1371","EPI_ISL_5863929",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1372","EPI_ISL_5941469",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1373","EPI_ISL_5942524",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1374","EPI_ISL_5945412",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1375","EPI_ISL_6101847",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1376","EPI_ISL_6101848",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1377","EPI_ISL_6101868",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1378","EPI_ISL_6101869",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1379","EPI_ISL_6375134",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1380","EPI_ISL_6507374",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1381","EPI_ISL_6600745",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1382","EPI_ISL_6600769",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1383","EPI_ISL_6600943",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1384","EPI_ISL_6675733",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1385","EPI_ISL_6675739",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1386","EPI_ISL_6675744",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1387","EPI_ISL_6675750",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1388","EPI_ISL_6675755",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1389","EPI_ISL_6757629",21,25,15,1,13,6,1,7,"21_25_15_1_13_6_1_7"
"1390","EPI_ISL_6757630",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1391","EPI_ISL_6757631",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1392","EPI_ISL_6758007",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1393","EPI_ISL_6760430",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1394","EPI_ISL_6760679",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1395","EPI_ISL_6760681",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1396","EPI_ISL_6760682",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1397","EPI_ISL_6760683",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1398","EPI_ISL_6760684",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1399","EPI_ISL_6760685",19,17,11,1,10,4,1,8,"19_17_11_1_10_4_1_8"
"1400","EPI_ISL_6760686",48,37,33,1,30,6,1,13,"48_37_33_1_30_6_1_13"
"1401","EPI_ISL_6760687",6,28,3,1,15,5,1,11,"6_28_3_1_15_5_1_11"
"1402","EPI_ISL_6760999",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1403","EPI_ISL_6761000",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1404","EPI_ISL_6761001",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1405","EPI_ISL_6761002",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1406","EPI_ISL_6761003",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1407","EPI_ISL_6761004",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1408","EPI_ISL_6761005",15,1,1,1,2,1,1,1,"15_1_1_1_2_1_1_1"
"1409","EPI_ISL_6761006",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1410","EPI_ISL_6761007",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1411","EPI_ISL_6761008",15,1,1,1,2,1,1,1,"15_1_1_1_2_1_1_1"
"1412","EPI_ISL_6761009",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1413","EPI_ISL_6761010",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1414","EPI_ISL_6761011",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1415","EPI_ISL_6761012",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1416","EPI_ISL_6761013",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1417","EPI_ISL_6761016",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1418","EPI_ISL_6761017",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1419","EPI_ISL_6761018",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1420","EPI_ISL_6761019",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1421","EPI_ISL_6761020",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1422","EPI_ISL_6761021",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1423","EPI_ISL_6761022",1,1,1,1,2,1,1,1,"1_1_1_1_2_1_1_1"
"1424","EPI_ISL_6761023",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1425","EPI_ISL_6761024",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1426","EPI_ISL_6761101",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1427","EPI_ISL_6772736",21,27,15,1,13,6,1,7,"21_27_15_1_13_6_1_7"
"1428","EPI_ISL_6772737",21,27,15,1,13,6,1,7,"21_27_15_1_13_6_1_7"
"1429","EPI_ISL_6772738",21,27,15,1,13,6,1,7,"21_27_15_1_13_6_1_7"
"1430","EPI_ISL_6772739",21,27,15,1,13,6,1,7,"21_27_15_1_13_6_1_7"
"1431","EPI_ISL_6772759",21,27,15,1,13,6,1,7,"21_27_15_1_13_6_1_7"
"1432","EPI_ISL_6772898",6,4,3,1,3,5,1,3,"6_4_3_1_3_5_1_3"
"1433","EPI_ISL_6929958",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1434","EPI_ISL_6937114",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1435","EPI_ISL_7055384",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1436","EPI_ISL_7224437",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1437","EPI_ISL_7224454",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1438","EPI_ISL_7224463",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1439","EPI_ISL_7224472",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1440","EPI_ISL_7379463",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1441","EPI_ISL_7379464",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1442","EPI_ISL_7379465",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1443","EPI_ISL_7379509",6,52,3,1,3,2,1,3,"6_52_3_1_3_2_1_3"
"1444","EPI_ISL_7380253",6,53,3,1,3,2,1,3,"6_53_3_1_3_2_1_3"
"1445","EPI_ISL_7452805",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1446","EPI_ISL_7457654",6,4,3,1,3,5,1,3,"6_4_3_1_3_5_1_3"
"1447","EPI_ISL_7596571",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1448","EPI_ISL_7683077",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1449","EPI_ISL_7683079",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1450","EPI_ISL_7683101",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1451","EPI_ISL_7683118",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1452","EPI_ISL_7683137",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1453","EPI_ISL_7683138",18,1,1,1,2,1,1,1,"18_1_1_1_2_1_1_1"
"1454","EPI_ISL_7748001",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1455","EPI_ISL_7748188",2,1,2,1,2,1,1,1,"2_1_2_1_2_1_1_1"
"1456","EPI_ISL_7748262",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1457","EPI_ISL_7753130",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1458","EPI_ISL_7753152",18,1,2,1,2,1,1,1,"18_1_2_1_2_1_1_1"
"1459","EPI_ISL_7753173",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1460","EPI_ISL_7753193",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1461","EPI_ISL_7753211",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1462","EPI_ISL_7753251",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1463","EPI_ISL_7753272",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1464","EPI_ISL_7753290",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1465","EPI_ISL_7753309",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1466","EPI_ISL_7753329",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1467","EPI_ISL_7952115",1,1,13,1,26,1,1,14,"1_1_13_1_26_1_1_14"
"1468","EPI_ISL_7952116",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1469","EPI_ISL_7952117",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1470","EPI_ISL_7952118",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1471","EPI_ISL_7952119",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1472","EPI_ISL_7952124",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1473","EPI_ISL_7952125",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1474","EPI_ISL_7952126",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1475","EPI_ISL_7952127",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1476","EPI_ISL_7952128",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1477","EPI_ISL_7952129",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1478","EPI_ISL_1273441",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1479","EPI_ISL_1240997",10,7,6,2,2,2,1,3,"10_7_6_2_2_2_1_3"
"1480","EPI_ISL_1048238",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1481","EPI_ISL_2932612",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1482","EPI_ISL_2932600",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1483","EPI_ISL_7622619",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1484","EPI_ISL_7380500",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1485","EPI_ISL_5144529",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1486","EPI_ISL_5095336",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1487","EPI_ISL_5095323",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1488","EPI_ISL_7753425",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1489","EPI_ISL_7753406",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1490","EPI_ISL_7753400",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1491","EPI_ISL_7753399",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1492","EPI_ISL_7753396",1,1,2,1,2,1,1,1,"1_1_2_1_2_1_1_1"
"1493","EPI_ISL_5115617",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1494","EPI_ISL_5115616",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1495","EPI_ISL_6328001",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1496","EPI_ISL_7733048",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1497","EPI_ISL_5099372",1,6,25,1,2,10,1,1,"1_6_25_1_2_10_1_1"
"1498","EPI_ISL_2555536",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1499","EPI_ISL_5058090",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1500","EPI_ISL_1093426",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1501","EPI_ISL_2932619",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1502","EPI_ISL_2932614",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1503","EPI_ISL_978916",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1504","EPI_ISL_978915",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1505","EPI_ISL_1719912",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1506","EPI_ISL_1719911",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1507","EPI_ISL_1719910",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1508","EPI_ISL_1719909",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1509","EPI_ISL_6328009",2,1,1,1,2,1,1,1,"2_1_1_1_2_1_1_1"
"1510","EPI_ISL_2555543",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1511","EPI_ISL_2555542",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1512","EPI_ISL_2555541",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1513","EPI_ISL_2555538",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1514","EPI_ISL_2555534",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1515","EPI_ISL_2555532",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1516","EPI_ISL_2113493",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1517","EPI_ISL_2113167",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1518","EPI_ISL_5115763",1,6,27,1,2,2,1,5,"1_6_27_1_2_2_1_5"
"1519","EPI_ISL_5115618",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1520","EPI_ISL_5115615",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
"1521","EPI_ISL_5136192",6,4,3,1,3,2,1,3,"6_4_3_1_3_2_1_3"
