GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_5115621,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5115613,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5099463,6_4_3_1_2_2_1_3,H5N8/2020/R3,Notassigned
EPI_ISL_5099373,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5099476,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5099451,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5099462,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5099367,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1719915,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1719913,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_995172,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_6328036,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_6328022,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5865417,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2932609,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_810963,9_7_6_2_2_2_1_3,H5N8/2020/R1,Notassigned
EPI_ISL_7458702,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7380813,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7380623,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_978914,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_978913,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_978912,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_978911,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_978910,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1240998,6_4_1_1_3_2_1_3,NA,Notassigned
EPI_ISL_5099356,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7753230,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5144368,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1719914,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7626514,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1941480,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941444,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941417,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941375,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941365,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1941351,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_6934175,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1048240,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1048239,21_6_2_1_9_8_1_1,H5N3/2020/R1,Notassigned
EPI_ISL_7597827,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2932682,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1093424,6_4_2_1_3_4_1_3,H5N5/2020/R1,Notassigned
EPI_ISL_5099456,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5058432,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2174728,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1048241,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1240718,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2932683,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2932616,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_2932608,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7880696,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_7880689,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_7589566,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7626533,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_7626532,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_7626526,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_7626513,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_7626512,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_7626484,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1191587,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5463801,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463800,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463804,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5463796,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5463795,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5463794,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5463793,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1093423,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_1822599,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822598,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822597,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822596,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822595,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822594,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822593,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_1822592,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5463806,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_5463805,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1236901,6_7_2_1_3_2_1_3,H5N8/2021/R1,Notassigned
EPI_ISL_3026699,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_5463803,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463802,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463799,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463798,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_5463797,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_1093425,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_7585764,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_6930238,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_6929970,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_1093422,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215689,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_8215688,8_7_1_1_2_1_1_1,H5N1/2021/R1,Notassigned
EPI_ISL_8215686,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215685,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215662,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215661,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215660,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215659,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215658,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215657,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215656,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215655,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215654,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215653,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215687,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215684,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8215663,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8377056,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_8377254,14_8_1_1_7_1_1_5,H5N1/2021/R6,Notassigned
EPI_ISL_8377417,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_8377418,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_8650947,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_8650948,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_8650949,2_1_1_1_9_1_1_1,H5N1/2021/R10,Notassigned
EPI_ISL_9261741,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_9261742,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_9261743,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_9261744,2_1_2_1_2_1_1_1,NA,Notassigned
EPI_ISL_9261745,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_9261747,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_9261748,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_9261749,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_9261750,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_9261751,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_9880015,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_9880019,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_9880021,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_9880151,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_9880152,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_9880153,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_10220427,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_10220428,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_10220429,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_10220432,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10261376,2_1_1_1_9_1_1_1,H5N1/2021/R10,Notassigned
EPI_ISL_10347218,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10347219,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10347220,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10347326,2_1_1_1_9_1_1_1,H5N1/2021/R10,Notassigned
EPI_ISL_10576444,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10724257,2_1_1_1_9_1_1_1,H5N1/2021/R10,Notassigned
EPI_ISL_10724259,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_10915976,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_11112484,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_11211731,19_1_1_1_2_1_1_1,H5N1/2021/R8,Notassigned
EPI_ISL_11260218,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_11330431,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_11580255,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_11633613,1_1_1_1_2_1_1_1,H5N1/2021/R4,Notassigned
EPI_ISL_11633614,8_6_1_1_2_1_1_1,H5N1/2021/R11,Notassigned
EPI_ISL_11633616,1_1_1_1_2_1_1_1,H5N1/2021/R4,Notassigned
EPI_ISL_12177629,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_12210335,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_12325210,1_1_10_1_20_1_1_1,NA,Notassigned
EPI_ISL_12514442,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_12514483,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_12567390,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12567391,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12567392,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12567393,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12567529,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12567530,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12567531,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12567532,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12567533,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12690318,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690319,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690320,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690321,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690322,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690323,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690324,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690325,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690568,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_12690569,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690570,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12690571,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12693855,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_12968592,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_12968593,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_12968817,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_12968823,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13009618,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009620,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009634,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009636,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_13009652,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009658,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13009673,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009677,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13009689,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13009694,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13026099,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026104,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026105,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026106,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026236,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026237,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13026245,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13026246,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13116131,3_1_1_1_1_1_1_1,H5N1/2022/R3,B4.1
EPI_ISL_13243350,19_1_1_1_2_1_1_1,H5N1/2021/R8,Notassigned
EPI_ISL_13246657,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13300319,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13300324,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369398,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369399,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369400,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369401,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369740,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369741,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369742,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_13369743,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369744,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369745,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369746,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369747,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369748,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369753,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369754,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369755,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369756,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369757,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369758,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369759,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369760,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369761,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369762,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369763,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369764,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369765,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369766,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369767,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369768,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369769,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369770,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369771,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369772,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369773,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369774,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369775,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369776,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13369777,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369778,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369779,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369780,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13369781,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369782,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369783,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369784,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13369809,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370248,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370249,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370343,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370505,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370506,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370507,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370508,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370509,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370510,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370511,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370560,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370561,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370562,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370563,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370564,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370568,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370569,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370570,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370571,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370572,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370573,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370603,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370604,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370605,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370606,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370607,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370608,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370609,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370610,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370611,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370612,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370613,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370614,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370615,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370617,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370618,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370619,2_1_1_1_2_1_1_1,H5N1/2020/R1,A5
EPI_ISL_13370620,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370621,1_1_2_1_2_1_1_1,H5N1/2021/R2,Notassigned
EPI_ISL_13370622,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13370623,2_1_1_1_2_1_1_1,H5N1/2020/R1,Notassigned
EPI_ISL_13431305,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431306,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431307,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431308,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_13431309,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431310,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431311,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431312,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431313,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_13431314,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_13431688,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431689,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431690,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431691,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431692,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431693,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431694,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431695,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431696,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13431697,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_13632084,6_4_3_1_3_2_1_3,H5N8/2020/R2,Notassigned
EPI_ISL_13955171,14_8_1_1_7_1_1_5,H5N1/2021/R6,Notassigned
EPI_ISL_13955204,14_8_1_1_7_1_1_5,H5N1/2021/R6,Notassigned
